step_index,sink_unit_index,particle_count
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,1
67,0,0
68,0,0
69,0,1
70,0,0
71,0,0
72,0,0
73,0,1
74,0,0
75,0,0
76,0,0
77,0,0
78,0,1
79,0,0
80,0,0
81,0,1
82,0,0
83,0,0
84,0,0
85,0,1
86,0,0
87,0,2
88,0,0
89,0,0
90,0,1
91,0,0
92,0,1
93,0,0
94,0,0
95,0,0
96,0,0
97,0,2
98,0,2
99,0,0
100,0,1
101,0,0
102,0,3
103,0,0
104,0,1
105,0,3
106,0,1
107,0,2
108,0,1
109,0,1
110,0,1
111,0,0
112,0,2
113,0,1
114,0,3
115,0,3
116,0,1
117,0,1
118,0,0
119,0,1
120,0,2
121,0,1
122,0,3
123,0,3
124,0,1
125,0,1
126,0,1
127,0,0
128,0,4
129,0,2
130,0,1
131,0,6
132,0,1
133,0,3
134,0,3
135,0,2
136,0,1
137,0,1
138,0,1
139,0,1
140,0,0
141,0,1
142,0,7
143,0,5
144,0,3
145,0,0
146,0,1
147,0,2
148,0,1
149,0,1
150,0,1
151,0,0
152,0,1
153,0,5
154,0,4
155,0,3
156,0,2
157,0,2
158,0,3
159,0,3
160,0,6
161,0,3
162,0,1
163,0,3
164,0,2
165,0,4
166,0,7
167,0,6
168,0,2
169,0,3
170,0,2
171,0,2
172,0,2
173,0,2
174,0,6
175,0,4
176,0,2
177,0,7
178,0,4
179,0,3
180,0,4
181,0,3
182,0,1
183,0,3
184,0,5
185,0,8
186,0,3
187,0,4
188,0,5
189,0,4
190,0,4
191,0,2
192,0,2
193,0,8
194,0,3
195,0,4
196,0,2
197,0,3
198,0,10
199,0,3
200,0,6
201,0,6
202,0,0
203,0,4
204,0,5
205,0,2
206,0,4
207,0,3
208,0,9
209,0,3
210,0,3
211,0,7
212,0,6
213,0,4
214,0,3
215,0,6
216,0,4
217,0,3
218,0,5
219,0,3
220,0,5
221,0,6
222,0,8
223,0,5
224,0,6
225,0,3
226,0,6
227,0,5
228,0,5
229,0,5
230,0,4
